股票代码,股票名称,市场,分类,类型
300029,ST天龙,A股,沪深A股,股票
300121,阳谷华泰,A股,沪深A股,股票
002603,以岭药业,A股,沪深A股,股票
000628,高新发展,A股,沪深A股,股票
688117,圣诺生物,A股,沪深A股,股票
300209,天泽信息,A股,沪深A股,股票
600491,龙元建设,A股,沪深A股,股票
605122,四方新材,A股,沪深A股,股票
000677,恒天海龙,A股,沪深A股,股票
600187,国中水务,A股,沪深A股,股票
600152,维科技术,A股,沪深A股,股票
000566,海南海药,A股,沪深A股,股票
300822,贝仕达克,A股,沪深A股,股票
688039,当虹科技,A股,沪深A股,股票
002412,汉森制药,A股,沪深A股,股票
688536,思瑞浦,A股,沪深A股,股票
002468,申通快递,A股,沪深A股,股票
300918,南山智尚,A股,沪深A股,股票
600795,国电电力,A股,沪深A股,股票
301042,安联锐视,A股,沪深A股,股票
300701,森霸传感,A股,沪深A股,股票
300344,立方数科,A股,沪深A股,股票
000815,美利云,A股,沪深A股,股票
002950,奥美医疗,A股,沪深A股,股票
002433,太安堂,A股,沪深A股,股票
300148,天舟文化,A股,沪深A股,股票
000150,*ST宜康,A股,沪深A股,股票
605180,华生科技,A股,沪深A股,股票
300698,万马科技,A股,沪深A股,股票
300948,冠中生态,A股,沪深A股,股票
300785,值得买,A股,沪深A股,股票
300857,协创数据,A股,沪深A股,股票
603887,城地香江,A股,沪深A股,股票
300426,唐德影视,A股,沪深A股,股票
300366,创意信息,A股,沪深A股,股票
002225,濮耐股份,A股,沪深A股,股票
300951,博硕科技,A股,沪深A股,股票
002466,天齐锂业,A股,沪深A股,股票
300942,易瑞生物,A股,沪深A股,股票
688191,XD智洋创,A股,沪深A股,股票
300712,永福股份,A股,沪深A股,股票
000010,美丽生态,A股,沪深A股,股票
002995,天地在线,A股,沪深A股,股票
600791,京能置业,A股,沪深A股,股票
688075,安旭生物,A股,沪深A股,股票
688331,荣昌生物,A股,沪深A股,股票
688212,澳华内镜,A股,沪深A股,股票
